city,city_slug,category,target_poi_count,launch_minimum_poi_count,required_fact_coverage,collection_status,notes
Beijing,beijing,food,15,6,"payment_acceptance:80%;metro_access:80%;english_menu:60%;reservation_helpful:60%;opening_hours:80%",not_started,"Targets only; no POI or fact evidence asserted"
Beijing,beijing,attraction,12,6,"booking_required:100%;passport_requirement:100%;metro_access:90%;crowd_pattern:75%;opening_hours:90%",not_started,"Targets only; no POI or fact evidence asserted"
Beijing,beijing,hotel,8,6,"foreign_guest_eligibility:100%;check_in_requirements:100%;payment_acceptance:100%;metro_access:85%;english_support:75%",not_started,"Targets only; no POI or fact evidence asserted"
Beijing,beijing,shopping,7,6,"payment_acceptance:90%;metro_access:80%;tax_refund:70%;opening_hours:90%;return_policy:60%",not_started,"Targets only; no POI or fact evidence asserted"
Beijing,beijing,experience,8,6,"booking_required:90%;language_support:80%;duration:90%;metro_access:75%;cancellation_policy:75%",not_started,"Targets only; no POI or fact evidence asserted"
Shanghai,shanghai,food,15,6,"payment_acceptance:80%;metro_access:80%;english_menu:60%;reservation_helpful:60%;opening_hours:80%",not_started,"Targets only; no POI or fact evidence asserted"
Shanghai,shanghai,attraction,12,6,"booking_required:100%;passport_requirement:100%;metro_access:90%;crowd_pattern:75%;opening_hours:90%",not_started,"Targets only; no POI or fact evidence asserted"
Shanghai,shanghai,hotel,8,6,"foreign_guest_eligibility:100%;check_in_requirements:100%;payment_acceptance:100%;metro_access:85%;english_support:75%",not_started,"Targets only; no POI or fact evidence asserted"
Shanghai,shanghai,shopping,7,6,"payment_acceptance:90%;metro_access:80%;tax_refund:70%;opening_hours:90%;return_policy:60%",not_started,"Targets only; no POI or fact evidence asserted"
Shanghai,shanghai,experience,8,6,"booking_required:90%;language_support:80%;duration:90%;metro_access:75%;cancellation_policy:75%",not_started,"Targets only; no POI or fact evidence asserted"
Chengdu,chengdu,food,15,6,"payment_acceptance:80%;metro_access:80%;english_menu:60%;reservation_helpful:60%;opening_hours:80%",not_started,"Targets only; no POI or fact evidence asserted"
Chengdu,chengdu,attraction,12,6,"booking_required:100%;passport_requirement:100%;metro_access:90%;crowd_pattern:75%;opening_hours:90%",not_started,"Targets only; no POI or fact evidence asserted"
Chengdu,chengdu,hotel,8,6,"foreign_guest_eligibility:100%;check_in_requirements:100%;payment_acceptance:100%;metro_access:85%;english_support:75%",not_started,"Targets only; no POI or fact evidence asserted"
Chengdu,chengdu,shopping,7,6,"payment_acceptance:90%;metro_access:80%;tax_refund:70%;opening_hours:90%;return_policy:60%",not_started,"Targets only; no POI or fact evidence asserted"
Chengdu,chengdu,experience,8,6,"booking_required:90%;language_support:80%;duration:90%;metro_access:75%;cancellation_policy:75%",not_started,"Targets only; no POI or fact evidence asserted"
Guangzhou,guangzhou,food,15,6,"payment_acceptance:80%;metro_access:80%;english_menu:60%;reservation_helpful:60%;opening_hours:80%",not_started,"Targets only; no POI or fact evidence asserted"
Guangzhou,guangzhou,attraction,12,6,"booking_required:100%;passport_requirement:100%;metro_access:90%;crowd_pattern:75%;opening_hours:90%",not_started,"Targets only; no POI or fact evidence asserted"
Guangzhou,guangzhou,hotel,8,6,"foreign_guest_eligibility:100%;check_in_requirements:100%;payment_acceptance:100%;metro_access:85%;english_support:75%",not_started,"Targets only; no POI or fact evidence asserted"
Guangzhou,guangzhou,shopping,7,6,"payment_acceptance:90%;metro_access:80%;tax_refund:70%;opening_hours:90%;return_policy:60%",not_started,"Targets only; no POI or fact evidence asserted"
Guangzhou,guangzhou,experience,8,6,"booking_required:90%;language_support:80%;duration:90%;metro_access:75%;cancellation_policy:75%",not_started,"Targets only; no POI or fact evidence asserted"
Shenzhen,shenzhen,food,15,6,"payment_acceptance:80%;metro_access:80%;english_menu:60%;reservation_helpful:60%;opening_hours:80%",not_started,"Targets only; no POI or fact evidence asserted"
Shenzhen,shenzhen,attraction,12,6,"booking_required:100%;passport_requirement:100%;metro_access:90%;crowd_pattern:75%;opening_hours:90%",not_started,"Targets only; no POI or fact evidence asserted"
Shenzhen,shenzhen,hotel,8,6,"foreign_guest_eligibility:100%;check_in_requirements:100%;payment_acceptance:100%;metro_access:85%;english_support:75%",not_started,"Targets only; no POI or fact evidence asserted"
Shenzhen,shenzhen,shopping,7,6,"payment_acceptance:90%;metro_access:80%;tax_refund:70%;opening_hours:90%;return_policy:60%",not_started,"Targets only; no POI or fact evidence asserted"
Shenzhen,shenzhen,experience,8,6,"booking_required:90%;language_support:80%;duration:90%;metro_access:75%;cancellation_policy:75%",not_started,"Targets only; no POI or fact evidence asserted"
Xi'an,xian,food,15,6,"payment_acceptance:80%;metro_access:80%;english_menu:60%;reservation_helpful:60%;opening_hours:80%",not_started,"Targets only; no POI or fact evidence asserted"
Xi'an,xian,attraction,12,6,"booking_required:100%;passport_requirement:100%;metro_access:90%;crowd_pattern:75%;opening_hours:90%",not_started,"Targets only; no POI or fact evidence asserted"
Xi'an,xian,hotel,8,6,"foreign_guest_eligibility:100%;check_in_requirements:100%;payment_acceptance:100%;metro_access:85%;english_support:75%",not_started,"Targets only; no POI or fact evidence asserted"
Xi'an,xian,shopping,7,6,"payment_acceptance:90%;metro_access:80%;tax_refund:70%;opening_hours:90%;return_policy:60%",not_started,"Targets only; no POI or fact evidence asserted"
Xi'an,xian,experience,8,6,"booking_required:90%;language_support:80%;duration:90%;metro_access:75%;cancellation_policy:75%",not_started,"Targets only; no POI or fact evidence asserted"
